19103,2008,Jeff McInnis,PG,33,CHA,54,26,1410,6.5,0.461,0.076,0.12,1.3,6.6,3.9,23.4,0.9,0.2,22.5,11,,-0.2,0.3,0.1,0.002,,-4.1,-1.9,-6.1,-1.4,108,249,0.434,3,19,0.158,105,230,0.457,0.44,23,30,0.767,16,80,96,220,23,3,76,120,242
22629,2014,C.J. McCollum,SG,22,POR,38,0,476,9,0.521,0.449,0.191,1.6,9.2,5.4,8.7,1.5,0.3,15.4,20.9,,-0.2,0.3,0.2,0.019,,-2.1,-2,-4.1,-0.3,74,178,0.416,30,80,0.375,44,98,0.449,0.5,23,34,0.676,7,41,48,27,14,2,35,53,201
24450,2017,K.J. McDaniels,SF,23,BRK,20,0,293,12.5,0.556,0.386,0.277,3.3,15.3,9.4,4.9,1.9,2.6,14.4,19.3,,0,0.3,0.3,0.046,,-3.3,-0.4,-3.7,-0.1,46,101,0.455,11,39,0.282,35,62,0.565,0.51,23,28,0.821,9,43,52,9,12,10,19,25,126
19875,2009,Jake Voskuhl,C,31,TOR,38,1,240,0.4,0.342,0,0.311,10.4,18.4,14.4,4.6,0.7,1.3,24.9,13.1,,-0.5,0.2,-0.3,-0.064,,-7.7,-0.2,-7.9,-0.4,12,45,0.267,0,0,,12,45,0.267,0.267,11,14,0.786,21,38,59,8,3,4,17,60,35
9631,1990,Charles Davis,SF,31,CHI,53,0,429,6.7,0.402,0.158,0.051,6.9,15.5,11.1,5.6,1.2,1.2,11,18.1,,-0.5,0.3,-0.2,-0.017,,-5.7,-2.4,-8.1,-0.7,58,158,0.367,7,25,0.28,51,133,0.383,0.389,7,8,0.875,25,56,81,18,10,8,20,52,130
12121,1995,Dwayne Morton,PG,23,GSW,41,6,395,11,0.502,0.194,0.659,5.8,10.5,8.1,6.7,1.4,2.6,14,20.7,,0,0.2,0.2,0.025,,-3.7,-1.3,-5.1,-0.3,50,129,0.388,9,25,0.36,41,104,0.394,0.422,58,85,0.682,21,37,58,18,11,15,27,45,167
16409,2003,Vladimir Stepania,C,26,MIA,79,6,1594,13.6,0.454,0,0.314,14.9,25.6,20.1,2.7,1.5,2,12.4,16.4,,0.3,2.6,2.9,0.089,,-3.9,0.3,-3.5,-0.6,185,427,0.433,0,0,,185,427,0.433,0.433,71,134,0.53,211,343,554,24,45,40,69,169,441
21186,2012,Craig Brackins,PF,24,PHI,14,1,88,4.3,0.325,0.273,0.061,6.3,12.7,9.5,13.5,0,0.9,10.6,20.2,,-0.2,0.1,-0.1,-0.065,,-6.3,-1.9,-8.1,-0.1,9,33,0.273,3,9,0.333,6,24,0.25,0.318,1,2,0.5,5,10,15,8,0,1,4,6,22
24483,2017,Larry Nance,PF,24,LAL,63,7,1442,15.8,0.567,0.1,0.222,8.8,19.6,14,9.7,2.8,2.3,12.4,13.4,,2.1,1.5,3.5,0.118,,-0.3,2.3,2,1.5,190,361,0.526,10,36,0.278,180,325,0.554,0.54,59,80,0.738,120,249,369,96,82,40,56,149,449
11306,1993,Trent Tucker,SG,33,CHI,69,0,909,14.1,0.584,0.444,0.075,2,7.2,4.5,12.5,1.4,0.4,5.6,15.4,,2.2,0.7,2.8,0.15,,1.6,-2.5,-1,0.2,143,295,0.485,52,131,0.397,91,164,0.555,0.573,18,22,0.818,16,55,71,82,24,6,18,65,356
12729,1996,Scott Skiles,PG,31,PHI,10,9,236,9,0.513,0.596,0.175,0.5,7.5,3.9,25.8,1.5,0,20.7,14.7,,0.1,0,0.1,0.014,,-2.1,-3.8,-6,-0.2,20,57,0.351,15,34,0.441,5,23,0.217,0.482,8,10,0.8,1,15,16,38,7,0,16,21,63
18466,2007,Sarunas Jasikevicius,PG,30,GSW,26,2,309,11.3,0.493,0.436,0.307,1.7,5.8,3.7,28,2,0.2,21.3,20.1,,0,0.2,0.2,0.023,,-2.5,-3.5,-6,-0.3,37,101,0.366,12,44,0.273,25,57,0.439,0.426,27,31,0.871,5,16,21,61,13,1,31,22,113
19624,2009,Anthony Johnson,PG,34,ORL,80,12,1481,10.3,0.505,0.349,0.213,2.3,8.8,5.6,21.2,1.6,0.2,16.4,15.5,,0.7,2.1,2.8,0.091,,-1.8,0.5,-1.3,0.3,154,381,0.404,52,133,0.391,102,248,0.411,0.472,61,81,0.753,29,118,147,200,46,5,82,111,421
15063,2001,Sean Colson,PG,25,HOU,10,0,30,14.9,0.361,0.211,0.211,7.9,3.8,5.8,43,1.8,0,0,31.9,,0,0,0,0.062,,3.8,-4.1,-0.3,0,6,19,0.316,1,4,0.25,5,15,0.333,0.342,2,4,0.5,2,1,3,7,1,0,0,6,15
9888,1990,Brian Rowsom,PF,24,CHH,44,2,559,13.6,0.522,0.011,0.464,8.4,18.8,13.3,5.7,1.6,1.2,10.4,18.3,,0.5,0.5,1,0.085,,-2.7,-0.3,-3.1,-0.1,78,179,0.436,1,2,0.5,77,177,0.435,0.439,68,83,0.819,44,87,131,22,18,11,25,58,225
23145,2015,Andre Iguodala,SF,31,GSW,77,0,2069,12.3,0.553,0.427,0.23,2.4,10.8,6.7,14.6,2.1,0.9,13.9,13.3,,2.3,2.8,5.1,0.117,,0.1,1.5,1.6,1.9,231,496,0.466,74,212,0.349,157,284,0.553,0.54,68,114,0.596,44,213,257,228,89,25,88,100,604
19070,2008,Stephane Lasme,PF,25,MIA,15,4,303,11.7,0.488,0,0.451,10.1,10.8,10.5,1.6,2.3,5.8,15,15.6,,-0.1,0.3,0.3,0.041,,-4.8,1.9,-2.8,-0.1,32,71,0.451,0,0,,32,71,0.451,0.451,19,32,0.594,26,27,53,3,13,22,15,35,83
18094,2006,Jalen Rose,SG,33,NYK,26,23,747,14.5,0.582,0.238,0.423,2.1,11.4,6.7,16.2,0.7,0.3,15,20.2,,1.3,0,1.3,0.085,,1.1,-2.3,-1.2,0.1,110,239,0.46,28,57,0.491,82,182,0.451,0.519,82,101,0.812,13,69,82,68,10,3,50,55,330
8498,1987,Fernando Martin,C,24,POR,24,0,146,-0.9,0.307,0.032,0.355,6.3,15,10.7,7.2,2.2,0.4,35.8,15,,-0.6,0.2,-0.4,-0.144,,-9.5,0.8,-8.7,-0.2,9,31,0.29,0,1,0,9,30,0.3,0.29,4,11,0.364,8,20,28,9,7,1,20,24,22
10169,1991,Dave Greenwood,PF,33,SAS,63,11,1018,7.8,0.568,0.012,0.556,7,16.5,12,6.6,1.4,1.5,25.2,11.5,,0,1.6,1.7,0.079,,-3.3,1.9,-1.4,0.2,85,169,0.503,0,2,0,85,167,0.509,0.503,69,94,0.734,61,160,221,52,29,25,71,172,239
16887,2004,Robert Pack,PG,34,NJN,26,0,220,8,0.448,0,0.115,2.1,7.5,4.8,20,2.9,0.4,22.7,15.1,,-0.2,0.3,0.1,0.028,,-5.7,0,-5.7,-0.2,22,52,0.423,0,0,,22,52,0.423,0.423,5,6,0.833,4,14,18,27,12,1,16,20,49
17795,2006,Tony Delk,PG,32,DET,23,0,378,16.1,0.526,0.294,0.156,4,12.1,8,15.5,1.9,0.2,10,23.9,,0.4,0.5,0.9,0.111,,0.6,-1.3,-0.7,0.1,71,160,0.444,20,47,0.426,51,113,0.451,0.506,18,25,0.72,13,38,51,33,13,1,19,28,180
18662,2007,Pape Sow,C,25,TOR,7,0,34,16.4,0.43,0,0.667,20.5,17.5,19,8.7,1.5,2.3,7.9,17.2,,0,0,0.1,0.128,,-1.2,0.6,-0.5,0,3,9,0.333,0,0,,3,9,0.333,0.333,4,6,0.667,6,5,11,2,1,1,1,2,10
10088,1991,Dave Corzine,C,34,SEA,28,0,147,12.5,0.493,0,0.579,8,19,13.4,3.6,1.7,2.2,4,14.2,,0.2,0.2,0.4,0.117,,-2.4,-0.6,-3,0,17,38,0.447,0,0,,17,38,0.447,0.447,13,22,0.591,10,23,33,4,5,5,2,18,47
19756,2009,Morris Peterson,SG,31,NOH,43,9,515,10.7,0.499,0.464,0.104,3.1,16.6,9.9,5.2,1.6,0.3,7.3,19.3,,0,0.6,0.6,0.058,,-2.3,-2,-4.3,-0.3,73,183,0.399,33,85,0.388,40,98,0.408,0.489,12,19,0.632,13,71,84,16,15,2,15,51,191
8036,1986,Ken Green,PF,26,NYK,7,0,72,19.3,0.501,0,0.333,18,24.7,21.2,4.4,2.7,0,3.1,18.6,,0.1,0.1,0.3,0.184,,0.2,-0.8,-0.5,0,13,27,0.481,0,0,,13,27,0.481,0.481,5,9,0.556,12,15,27,2,4,0,1,8,31
